"Llara (Mulgate Creek)" spanning 2021-05-01 00:00:00+10:00 to 2021-06-01 00:00:00+10:00
Generated at 2022-02-11 10:58:56.180360+11:00

Time, Temperature (C), Dew Point (C), Wind (km/h), Gust (km/h), Wind Dir, Rain Since 9am (mm), MSLP (hPa), Rel Humidity (%), Delta-T (C), Int Temp (C), Solar Rad (kWh/m^2), UV, ETo (mm)
2021-05-01 00:00:00, 14.0, 8.6, 7.0, 10.0, 207, 0.0, ?, 70, 3.0, ?, 3.69, ?, 3.30
2021-05-01 00:15:00, 13.4, 8.9, 8.1, 11.0, 197, 0.0, ?, 74, 2.6, ?, 0.00, ?, 0.01
2021-05-01 00:30:00, 12.7, 8.6, 5.2, 8.0, 182, 0.0, ?, 76, 2.4, ?, 0.00, ?, 0.01
2021-05-01 00:45:00, 12.6, 8.5, 3.3, 6.0, 181, 0.0, ?, 76, 2.3, ?, 0.00, ?, 0.01
2021-05-01 01:00:00, 12.4, 8.3, 3.9, 6.0, 168, 0.0, ?, 76, 2.3, ?, 0.00, ?, 0.02
2021-05-01 01:15:00, 12.6, 8.5, 3.9, 6.0, 175, 0.0, ?, 76, 2.3, ?, 0.00, ?, 0.02
2021-05-01 01:30:00, 12.3, 8.4, 4.2, 6.0, 180, 0.0, ?, 77, 2.2, ?, 0.00, ?, 0.02
2021-05-01 01:45:00, 12.1, 8.6, 3.2, 6.0, 198, 0.0, ?, 79, 2.0, ?, 0.00, ?, 0.03
2021-05-01 02:00:00, 12.3, 8.8, 4.3, 6.0, 180, 0.0, ?, 79, 2.0, ?, 0.00, ?, 0.03
2021-05-01 02:15:00, 12.4, 8.7, 6.9, 11.0, 168, 0.0, ?, 78, 2.1, ?, 0.00, ?, 0.03
2021-05-01 02:30:00, 12.1, 8.6, 6.3, 8.0, 178, 0.0, ?, 79, 2.0, ?, 0.00, ?, 0.04
2021-05-01 02:45:00, 11.8, 8.5, 2.4, 6.0, 163, 0.0, ?, 80, 1.9, ?, 0.00, ?, 0.04
2021-05-01 03:00:00, 11.7, 8.5, 3.0, 6.0, 172, 0.0, ?, 81, 1.8, ?, 0.00, ?, 0.04
2021-05-01 03:15:00, 11.3, 8.2, 2.5, 6.0, 166, 0.0, ?, 81, 1.8, ?, 0.00, ?, 0.04
2021-05-01 03:30:00, 11.1, 8.3, 1.6, 6.0, 170, 0.0, ?, 83, 1.6, ?, 0.00, ?, 0.05
2021-05-01 03:45:00, 11.9, 8.7, 6.3, 8.0, 164, 0.0, ?, 81, 1.8, ?, 0.00, ?, 0.05
2021-05-01 04:00:00, 10.9, 7.8, 2.8, 6.0, 112, 0.0, ?, 81, 1.8, ?, 0.00, ?, 0.05
2021-05-01 04:15:00, 11.1, 8.3, 1.1, 3.0, 356, 0.0, ?, 83, 1.6, ?, 0.00, ?, 0.05
2021-05-01 04:30:00, 11.0, 8.4, 0.0, 2.0, 356, 0.0, ?, 84, 1.4, ?, 0.00, ?, 0.05
2021-05-01 04:45:00, 11.2, 8.8, 1.5, 5.0, 17, 0.0, ?, 85, 1.4, ?, 0.00, ?, 0.05
2021-05-01 05:00:00, 11.6, 9.0, 2.3, 5.0, 166, 0.0, ?, 84, 1.5, ?, 0.00, ?, 0.06
2021-05-01 05:15:00, 12.0, 9.4, 2.9, 6.0, 171, 0.0, ?, 84, 1.5, ?, 0.00, ?, 0.06
2021-05-01 05:30:00, 12.0, 9.2, 5.1, 8.0, 157, 0.0, ?, 83, 1.6, ?, 0.00, ?, 0.06
2021-05-01 05:45:00, 11.9, 9.3, 4.5, 8.0, 155, 0.0, ?, 84, 1.5, ?, 0.00, ?, 0.06
2021-05-01 06:00:00, 12.0, 9.6, 5.1, 11.0, 156, 0.0, ?, 85, 1.4, ?, 0.00, ?, 0.06
2021-05-01 06:15:00, 12.4, 9.9, 3.9, 10.0, 162, 0.0, ?, 85, 1.4, ?, 0.00, ?, 0.07
2021-05-01 06:30:00, 12.5, 9.9, 4.0, 6.0, 179, 0.0, ?, 84, 1.6, ?, 0.00, ?, 0.07
2021-05-01 06:45:00, 12.5, 10.0, 6.1, 10.0, 169, 0.0, ?, 85, 1.4, ?, 0.00, ?, 0.08
2021-05-01 07:00:00, 12.6, 10.1, 7.8, 13.0, 172, 0.0, ?, 85, 1.4, ?, 0.02, ?, 0.09
2021-05-01 07:15:00, 13.1, 10.6, 8.5, 13.0, 177, 0.0, ?, 85, 1.4, ?, 0.04, ?, 0.10
2021-05-01 07:30:00, 14.0, 11.0, 8.5, 11.0, 174, 0.0, ?, 82, 1.8, ?, 0.09, ?, 0.13
2021-05-01 07:45:00, 14.7, 11.1, 9.4, 13.0, 176, 0.0, ?, 79, 2.1, ?, 0.14, ?, 0.16
2021-05-01 08:00:00, 15.5, 11.5, 10.3, 14.0, 178, 0.0, ?, 77, 2.5, ?, 0.21, ?, 0.20
2021-05-01 08:15:00, 15.8, 11.6, 12.4, 16.0, 176, 0.0, ?, 76, 2.5, ?, 0.28, ?, 0.25
2021-05-01 08:30:00, 16.5, 11.6, 13.8, 18.0, 177, 0.0, ?, 73, 3.0, ?, 0.35, ?, 0.30
2021-05-01 08:45:00, 16.9, 11.6, 13.4, 18.0, 178, 0.0, ?, 71, 3.2, ?, 0.44, ?, 0.35
2021-05-01 09:00:00, 17.9, 12.1, 11.6, 18.0, 178, 0.0, ?, 69, 3.5, ?, 0.53, ?, 0.41
2021-05-01 09:15:00, 18.5, 12.0, 11.6, 18.0, 176, 0.0, ?, 66, 4.0, ?, 0.63, ?, 0.48
2021-05-01 09:30:00, 19.4, 12.4, 9.4, 13.0, 174, 0.0, ?, 64, 4.3, ?, 0.74, ?, 0.55
2021-05-01 09:45:00, 19.9, 12.4, 10.8, 14.0, 180, 0.0, ?, 62, 4.7, ?, 0.85, ?, 0.62
2021-05-01 10:00:00, 20.8, 12.5, 9.1, 14.0, 175, 0.0, ?, 59, 5.2, ?, 0.97, ?, 0.71
2021-05-01 10:15:00, 21.5, 12.6, 8.6, 19.0, 178, 0.0, ?, 57, 5.6, ?, 1.10, ?, 0.80
2021-05-01 10:30:00, 22.3, 12.8, 9.6, 16.0, 181, 0.0, ?, 55, 6.0, ?, 1.23, ?, 0.89
2021-05-01 10:45:00, 22.7, 12.0, 8.2, 16.0, 182, 0.0, ?, 51, 6.7, ?, 1.37, ?, 0.99
2021-05-01 11:00:00, 23.4, 12.4, 8.5, 18.0, 188, 0.0, ?, 50, 7.0, ?, 1.51, ?, 1.09
2021-05-01 11:15:00, 23.5, 11.5, 11.4, 21.0, 179, 0.0, ?, 47, 7.5, ?, 1.65, ?, 1.20
2021-05-01 11:30:00, 23.9, 11.6, 10.3, 18.0, 180, 0.0, ?, 46, 7.8, ?, 1.78, ?, 1.30
2021-05-01 11:45:00, 23.9, 11.6, 5.2, 11.0, 222, 0.0, ?, 46, 7.8, ?, 1.87, ?, 1.38
2021-05-01 12:00:00, 24.2, 11.5, 7.8, 18.0, 177, 0.0, ?, 45, 8.0, ?, 1.98, ?, 1.47
2021-05-01 12:15:00, 24.0, 11.7, 7.7, 13.0, 156, 0.0, ?, 46, 7.8, ?, 2.04, ?, 1.52
2021-05-01 12:30:00, 24.3, 11.9, 4.5, 10.0, 157, 0.0, ?, 46, 7.8, ?, 2.12, ?, 1.59
2021-05-01 12:45:00, 24.5, 11.4, 7.4, 14.0, 167, 0.0, ?, 44, 8.2, ?, 2.26, ?, 1.69
2021-05-01 13:00:00, 24.9, 11.8, 6.7, 14.0, 229, 0.0, ?, 44, 8.2, ?, 2.38, ?, 1.79
2021-05-01 13:15:00, 24.7, 11.3, 10.5, 18.0, 176, 0.0, ?, 43, 8.4, ?, 2.50, ?, 1.89
2021-05-01 13:30:00, 24.3, 11.6, 7.2, 14.0, 171, 0.0, ?, 45, 8.0, ?, 2.54, ?, 1.93
2021-05-01 13:45:00, 24.8, 11.7, 6.1, 11.0, 184, 0.0, ?, 44, 8.2, ?, 2.60, ?, 1.99
2021-05-01 14:00:00, 24.6, 11.5, 8.5, 14.0, 218, 0.0, ?, 44, 8.2, ?, 2.67, ?, 2.06
2021-05-01 14:15:00, 24.7, 11.6, 7.8, 14.0, 257, 0.0, ?, 44, 8.2, ?, 2.79, ?, 2.16
2021-05-01 14:30:00, 25.0, 11.5, 3.0, 11.0, 293, 0.0, ?, 43, 8.4, ?, 2.84, ?, 2.20
2021-05-01 14:45:00, 24.8, 11.4, 5.3, 13.0, 153, 0.0, ?, 43, 8.4, ?, 2.88, ?, 2.24
2021-05-01 15:00:00, 24.9, 11.5, 5.7, 13.0, 134, 0.0, ?, 43, 8.4, ?, 2.96, ?, 2.31
2021-05-01 15:15:00, 25.3, 11.1, 5.2, 11.0, 25, 0.0, ?, 41, 8.9, ?, 3.04, ?, 2.38
2021-05-01 15:30:00, 25.6, 11.7, 6.3, 14.0, 199, 0.0, ?, 42, 8.8, ?, 3.12, ?, 2.45
2021-05-01 15:45:00, 25.5, 11.6, 7.1, 18.0, 187, 0.0, ?, 42, 8.8, ?, 3.19, ?, 2.51
2021-05-01 16:00:00, 24.8, 11.4, 9.9, 26.0, 173, 0.0, ?, 43, 8.4, ?, 3.21, ?, 2.56
2021-05-01 16:15:00, 24.7, 11.6, 7.1, 13.0, 186, 0.0, ?, 44, 8.2, ?, 3.24, ?, 2.63
2021-05-01 16:30:00, 24.6, 11.5, 6.6, 11.0, 180, 0.0, ?, 44, 8.2, ?, 3.22, ?, 2.59
2021-05-01 16:45:00, 21.5, 13.7, 18.6, 34.0, 97, 0.0, ?, 61, 5.0, ?, 3.24, ?, 2.69
2021-05-01 17:00:00, 19.1, 14.6, 22.6, 39.0, 118, 0.0, ?, 75, 3.0, ?, 3.24, ?, 2.65
2021-05-01 17:15:00, 18.2, 14.3, 24.3, 39.0, 169, 0.8, ?, 78, 2.5, ?, 3.24, ?, 2.71
2021-05-01 17:30:00, 18.2, 14.5, 10.8, 18.0, 162, 1.4, ?, 79, 2.4, ?, 3.24, ?, 2.72
2021-05-01 17:45:00, 18.3, 14.2, 8.5, 11.0, 177, 1.6, ?, 77, 2.6, ?, 3.24, ?, 2.73
2021-05-01 18:00:00, 17.8, 14.3, 3.4, 8.0, 161, 1.6, ?, 80, 2.2, ?, 3.24, ?, 2.73
2021-05-01 18:15:00, 18.0, 14.3, 3.3, 8.0, 132, 1.6, ?, 79, 2.4, ?, 3.24, ?, 2.73
2021-05-01 18:30:00, 17.9, 14.0, 0.9, 5.0, 99, 1.6, ?, 78, 2.5, ?, 3.24, ?, 2.73
2021-05-01 18:45:00, 17.5, 14.6, 3.5, 6.0, 94, 1.6, ?, 83, 1.9, ?, 3.24, ?, 2.74
2021-05-01 19:00:00, 18.5, 14.4, 8.1, 11.0, 185, 1.8, ?, 77, 2.6, ?, 3.24, ?, 2.74
2021-05-01 19:15:00, 17.5, 14.8, 6.0, 13.0, 47, 1.8, ?, 84, 1.8, ?, 3.24, ?, 2.75
2021-05-01 19:30:00, 17.4, 14.7, 3.1, 6.0, 38, 1.8, ?, 84, 1.8, ?, 3.24, ?, 2.75
2021-05-01 19:45:00, 17.1, 14.9, 1.0, 5.0, 38, 1.8, ?, 87, 1.4, ?, 3.24, ?, 2.75
2021-05-01 20:00:00, 17.4, 15.4, 3.5, 6.0, 103, 1.8, ?, 88, 1.4, ?, 3.24, ?, 2.75
2021-05-01 20:15:00, 17.0, 15.2, 3.6, 6.0, 196, 2.0, ?, 89, 1.2, ?, 3.24, ?, 2.75
2021-05-01 20:30:00, 16.9, 15.1, 5.7, 13.0, 66, 2.0, ?, 89, 1.2, ?, 3.24, ?, 2.76
2021-05-01 20:45:00, 17.2, 15.0, 4.5, 8.0, 72, 2.0, ?, 87, 1.4, ?, 3.24, ?, 2.76
2021-05-01 21:00:00, 16.9, 14.9, 3.4, 6.0, 87, 2.0, ?, 88, 1.3, ?, 3.24, ?, 2.76
2021-05-01 21:15:00, 16.5, 14.5, 2.3, 6.0, 50, 2.0, ?, 88, 1.3, ?, 3.24, ?, 2.76
2021-05-01 21:30:00, 16.5, 14.1, 4.9, 8.0, 39, 2.0, ?, 86, 1.5, ?, 3.24, ?, 2.77
2021-05-01 21:45:00, 17.1, 14.2, 3.2, 8.0, 105, 2.0, ?, 83, 1.9, ?, 3.24, ?, 2.77
2021-05-01 22:00:00, 16.7, 14.3, 2.8, 5.0, 165, 2.0, ?, 86, 1.5, ?, 3.24, ?, 2.77
2021-05-01 22:15:00, 16.7, 14.0, 3.1, 6.0, 170, 2.0, ?, 84, 1.8, ?, 3.24, ?, 2.77
2021-05-01 22:30:00, 16.7, 13.2, 2.2, 8.0, 349, 2.0, ?, 80, 2.2, ?, 3.24, ?, 2.77
2021-05-01 22:45:00, 16.9, 13.0, 2.0, 6.0, 59, 2.0, ?, 78, 2.5, ?, 3.24, ?, 2.78
2021-05-01 23:00:00, 16.6, 12.3, 2.5, 10.0, 103, 2.0, ?, 76, 2.6, ?, 3.24, ?, 2.78
2021-05-01 23:15:00, 15.9, 12.6, 5.2, 13.0, 351, 2.0, ?, 81, 2.0, ?, 3.24, ?, 2.78
2021-05-01 23:30:00, 15.0, 12.5, 0.9, 5.0, 333, 2.0, ?, 85, 1.6, ?, 3.24, ?, 2.78
2021-05-01 23:45:00, 16.8, 11.7, 6.5, 13.0, 90, 2.0, ?, 72, 3.1, ?, 3.24, ?, 2.79
2021-05-02 00:00:00, 17.8, 11.6, 10.4, 18.0, 92, 2.0, ?, 67, 3.8, ?, 3.24, ?, 2.80
2021-05-02 00:15:00, 16.9, 11.2, 8.8, 13.0, 70, 2.0, ?, 69, 3.5, ?, 0.00, ?, 0.01
2021-05-02 00:30:00, 17.0, 11.0, 7.7, 11.0, 126, 2.0, ?, 68, 3.6, ?, 0.00, ?, 0.02
2021-05-02 00:45:00, 17.6, 10.9, 8.7, 14.0, 98, 2.0, ?, 65, 4.0, ?, 0.00, ?, 0.03
2021-05-02 01:00:00, 17.5, 11.1, 11.4, 18.0, 97, 2.0, ?, 66, 3.9, ?, 0.00, ?, 0.04
2021-05-02 01:15:00, 17.2, 10.8, 9.6, 14.0, 126, 2.0, ?, 66, 3.9, ?, 0.00, ?, 0.05
2021-05-02 01:30:00, 15.3, 10.5, 7.5, 16.0, 67, 2.0, ?, 73, 2.9, ?, 0.00, ?, 0.06
2021-05-02 01:45:00, 14.7, 10.3, 0.9, 5.0, 18, 2.0, ?, 75, 2.6, ?, 0.00, ?, 0.06
2021-05-02 02:00:00, 16.5, 10.8, 6.3, 13.0, 82, 2.0, ?, 69, 3.5, ?, 0.00, ?, 0.06
2021-05-02 02:15:00, 15.6, 11.0, 6.6, 10.0, 175, 2.0, ?, 74, 2.8, ?, 0.00, ?, 0.07
2021-05-02 02:30:00, 14.7, 11.5, 5.2, 8.0, 173, 2.0, ?, 81, 1.9, ?, 0.00, ?, 0.07
2021-05-02 02:45:00, 13.6, 10.9, 3.4, 8.0, 181, 2.0, ?, 84, 1.6, ?, 0.00, ?, 0.08
2021-05-02 03:00:00, 13.2, 11.3, 5.1, 10.0, 185, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.08
2021-05-02 03:15:00, 12.8, 10.9, 2.2, 5.0, 175, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.08
2021-05-02 03:30:00, 12.5, 10.7, 1.0, 3.0, 151, 2.0, ?, 89, 1.1, ?, 0.00, ?, 0.08
2021-05-02 03:45:00, 12.1, 10.5, 0.4, 3.0, 149, 2.0, ?, 90, 0.9, ?, 0.00, ?, 0.08
2021-05-02 04:00:00, 12.1, 10.7, 1.9, 6.0, 87, 2.0, ?, 91, 0.8, ?, 0.00, ?, 0.08
2021-05-02 04:15:00, 12.5, 10.7, 6.3, 10.0, 160, 2.0, ?, 89, 1.1, ?, 0.00, ?, 0.08
2021-05-02 04:30:00, 11.5, 9.6, 4.6, 8.0, 157, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.09
2021-05-02 04:45:00, 11.1, 9.4, 2.9, 6.0, 43, 2.0, ?, 89, 1.0, ?, 0.00, ?, 0.09
2021-05-02 05:00:00, 11.1, 9.5, 2.8, 6.0, 355, 2.0, ?, 90, 0.9, ?, 0.00, ?, 0.09
2021-05-02 05:15:00, 10.8, 8.7, 0.3, 2.0, 355, 2.0, ?, 87, 1.2, ?, 0.00, ?, 0.09
2021-05-02 05:30:00, 10.6, 8.7, 1.6, 5.0, 357, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.09
2021-05-02 05:45:00, 10.4, 9.0, 3.7, 6.0, 32, 2.0, ?, 91, 0.8, ?, 0.00, ?, 0.09
2021-05-02 06:00:00, 10.3, 8.4, 3.1, 5.0, 137, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.09
2021-05-02 06:15:00, 9.4, 7.5, 0.7, 3.0, 137, 2.0, ?, 88, 1.1, ?, 0.00, ?, 0.09
2021-05-02 06:30:00, 9.0, 7.4, 0.5, 5.0, 130, 2.0, ?, 90, 0.8, ?, 0.00, ?, 0.09
2021-05-02 06:45:00, 9.1, 7.5, 3.4, 5.0, 133, 2.0, ?, 90, 0.8, ?, 0.01, ?, 0.10
2021-05-02 07:00:00, 9.0, 7.6, 1.1, 3.0, 136, 2.0, ?, 91, 0.8, ?, 0.02, ?, 0.10
2021-05-02 07:15:00, 10.0, 8.8, 0.4, 3.0, 176, 2.0, ?, 92, 0.7, ?, 0.04, ?, 0.11
2021-05-02 07:30:00, 11.9, 10.8, 4.7, 10.0, 177, 2.0, ?, 93, 0.7, ?, 0.06, ?, 0.12
2021-05-02 07:45:00, 12.4, 10.6, 7.1, 10.0, 177, 2.0, ?, 89, 1.1, ?, 0.10, ?, 0.15
2021-05-02 08:00:00, 12.5, 10.6, 5.2, 10.0, 173, 2.0, ?, 88, 1.1, ?, 0.08, ?, 0.14
2021-05-02 08:15:00, 12.9, 11.0, 6.6, 11.0, 176, 2.0, ?, 88, 1.1, ?, 0.14, ?, 0.17
2021-05-02 08:30:00, 13.6, 11.6, 7.4, 11.0, 179, 2.0, ?, 88, 1.2, ?, 0.20, ?, 0.20
2021-05-02 08:45:00, 14.4, 12.1, 6.7, 11.0, 180, 2.0, ?, 86, 1.4, ?, 0.28, ?, 0.24
2021-05-02 09:00:00, 15.1, 12.4, 6.5, 10.0, 179, 2.0, ?, 84, 1.6, ?, 0.36, ?, 0.29
2021-05-02 09:15:00, 15.8, 12.9, 7.0, 10.0, 180, 0.0, ?, 83, 1.8, ?, 0.45, ?, 0.33
2021-05-02 09:30:00, 16.8, 13.3, 7.3, 11.0, 180, 0.0, ?, 80, 2.2, ?, 0.54, ?, 0.39
2021-05-02 09:45:00, 17.6, 13.5, 10.2, 14.0, 180, 0.0, ?, 77, 2.6, ?, 0.65, ?, 0.45
2021-05-02 10:00:00, 18.2, 13.3, 9.0, 11.0, 184, 0.0, ?, 73, 3.1, ?, 0.73, ?, 0.50
2021-05-02 10:15:00, 19.0, 13.4, 7.6, 10.0, 192, 0.0, ?, 70, 3.5, ?, 0.83, ?, 0.56
2021-05-02 10:30:00, 19.5, 13.2, 7.5, 11.0, 199, 0.0, ?, 67, 4.0, ?, 0.94, ?, 0.63
2021-05-02 10:45:00, 19.9, 14.0, 7.4, 11.0, 208, 0.0, ?, 69, 3.8, ?, 1.08, ?, 0.72
2021-05-02 11:00:00, 19.8, 13.5, 11.0, 16.0, 206, 0.0, ?, 67, 4.0, ?, 1.17, ?, 0.78
2021-05-02 11:15:00, 20.1, 13.8, 12.7, 18.0, 194, 0.0, ?, 67, 4.0, ?, 1.28, ?, 0.86
2021-05-02 11:30:00, 20.9, 13.6, 11.8, 18.0, 189, 0.0, ?, 63, 4.7, ?, 1.44, ?, 0.96
2021-05-02 11:45:00, 21.6, 12.2, 9.6, 16.0, 185, 0.0, ?, 55, 5.9, ?, 1.60, ?, 1.06
2021-05-02 12:00:00, 22.4, 12.6, 9.1, 18.0, 199, 0.0, ?, 54, 6.2, ?, 1.76, ?, 1.18
