"Llara (Mulgate Creek)" spanning 2021-10-01 00:00:00+10:00 to 2021-11-01 01:00:00+11:00
Generated at 2022-02-11 10:59:09.101750+11:00

Time, Temperature (C), Dew Point (C), Wind (km/h), Gust (km/h), Wind Dir, Rain Since 9am (mm), MSLP (hPa), Rel Humidity (%), Delta-T (C), Int Temp (C), Solar Rad (kWh/m^2), UV, ETo (mm)
2021-10-01 00:00:00, 18.9, 15.4, 16.7, 29.0, 30, 0.0, ?, 80, 2.4, ?, 3.12, ?, 2.59
2021-10-01 00:15:00, 18.9, 15.2, 16.7, 26.0, 32, 0.0, ?, 79, 2.5, ?, 0.00, ?, 0.01
2021-10-01 00:30:00, 18.8, 15.3, 14.3, 21.0, 24, 0.0, ?, 80, 2.3, ?, 0.00, ?, 0.02
2021-10-01 00:45:00, 19.0, 15.5, 16.5, 31.0, 22, 0.0, ?, 80, 2.4, ?, 0.00, ?, 0.03
2021-10-01 01:00:00, 19.1, 15.4, 19.8, 34.0, 20, 0.0, ?, 79, 2.5, ?, 0.00, ?, 0.04
2021-10-01 01:15:00, 19.1, 15.2, 21.4, 39.0, 14, 0.0, ?, 78, 2.6, ?, 0.00, ?, 0.05
2021-10-01 01:30:00, 19.1, 14.8, 22.2, 39.0, 12, 0.0, ?, 76, 2.8, ?, 0.00, ?, 0.06
2021-10-01 01:45:00, 19.4, 14.9, 26.4, 45.0, 16, 0.0, ?, 75, 3.0, ?, 0.00, ?, 0.07
2021-10-01 02:00:00, 19.1, 14.8, 26.4, 43.0, 13, 0.0, ?, 76, 2.8, ?, 0.00, ?, 0.08
2021-10-01 02:15:00, 18.9, 14.6, 28.4, 43.0, 25, 0.0, ?, 76, 2.8, ?, 0.00, ?, 0.09
2021-10-01 02:30:00, 18.6, 14.7, 24.7, 39.0, 18, 0.0, ?, 78, 2.5, ?, 0.00, ?, 0.10
2021-10-01 02:45:00, 18.4, 14.7, 23.2, 45.0, 20, 0.0, ?, 79, 2.4, ?, 0.00, ?, 0.11
2021-10-01 03:00:00, 18.3, 14.8, 21.5, 39.0, 27, 0.0, ?, 80, 2.3, ?, 0.00, ?, 0.12
2021-10-01 03:15:00, 18.1, 14.6, 20.0, 34.0, 22, 0.0, ?, 80, 2.3, ?, 0.00, ?, 0.13
2021-10-01 03:30:00, 17.9, 14.4, 19.3, 29.0, 24, 0.0, ?, 80, 2.2, ?, 0.00, ?, 0.14
2021-10-01 03:45:00, 17.6, 14.3, 18.6, 29.0, 29, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.15
2021-10-01 04:00:00, 17.6, 14.3, 20.0, 34.0, 23, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.16
2021-10-01 04:15:00, 17.5, 14.2, 19.8, 31.0, 20, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.17
2021-10-01 04:30:00, 17.4, 14.3, 19.0, 34.0, 13, 0.0, ?, 82, 2.0, ?, 0.00, ?, 0.17
2021-10-01 04:45:00, 17.5, 14.4, 17.7, 37.0, 8, 0.0, ?, 82, 2.0, ?, 0.00, ?, 0.19
2021-10-01 05:00:00, 17.7, 14.4, 20.1, 39.0, 7, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.18
2021-10-01 05:15:00, 17.6, 14.3, 15.3, 31.0, 7, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.20
2021-10-01 05:30:00, 17.6, 14.3, 15.3, 24.0, 15, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.20
2021-10-01 05:45:00, 17.8, 14.5, 13.6, 26.0, 17, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.22
2021-10-01 06:00:00, 17.8, 14.5, 12.9, 24.0, 30, 0.0, ?, 81, 2.1, ?, 0.00, ?, 0.23
2021-10-01 06:15:00, 17.9, 14.4, 15.0, 26.0, 31, 0.0, ?, 80, 2.2, ?, 0.01, ?, 0.24
2021-10-01 06:30:00, 17.7, 14.4, 15.5, 27.0, 26, 0.0, ?, 81, 2.1, ?, 0.03, ?, 0.28
2021-10-01 06:45:00, 17.7, 14.4, 14.1, 24.0, 34, 0.0, ?, 81, 2.1, ?, 0.05, ?, 0.30
2021-10-01 07:00:00, 17.7, 14.4, 13.7, 21.0, 38, 0.0, ?, 81, 2.1, ?, 0.02, ?, 0.26
2021-10-01 07:15:00, 18.1, 14.6, 16.4, 27.0, 35, 0.0, ?, 80, 2.3, ?, 0.08, ?, 0.33
2021-10-01 07:30:00, 18.4, 14.7, 20.5, 37.0, 38, 0.0, ?, 79, 2.4, ?, 0.11, ?, 0.36
2021-10-01 07:45:00, 18.5, 14.8, 19.9, 34.0, 38, 0.0, ?, 79, 2.4, ?, 0.15, ?, 0.39
2021-10-01 08:00:00, 19.8, 14.8, 23.9, 40.0, 38, 0.0, ?, 73, 3.2, ?, 0.25, ?, 0.46
