"Llara (Mulgate Creek)" spanning 2021-08-01 00:00:00+10:00 to 2021-09-01 00:00:00+10:00
Generated at 2022-02-11 10:59:04.181231+11:00

Time, Temperature (C), Dew Point (C), Wind (km/h), Gust (km/h), Wind Dir, Rain Since 9am (mm), MSLP (hPa), Rel Humidity (%), Delta-T (C), Int Temp (C), Solar Rad (kWh/m^2), UV, ETo (mm)
2021-08-01 00:00:00, 21.4, 12.3, 36.8, 60.0, 16, 0.0, ?, 56, 5.8, ?, 2.83, ?, 3.54
2021-08-01 00:15:00, 21.3, 12.4, 37.3, 58.0, 17, 0.0, ?, 57, 5.6, ?, 0.00, ?, 0.03
2021-08-01 00:30:00, 21.0, 12.4, 37.0, 53.0, 17, 0.0, ?, 58, 5.4, ?, 0.00, ?, 0.05
2021-08-01 00:45:00, 20.6, 12.3, 36.3, 58.0, 16, 0.0, ?, 59, 5.2, ?, 0.00, ?, 0.08
2021-08-01 01:00:00, 20.5, 12.2, 37.3, 55.0, 15, 0.0, ?, 59, 5.2, ?, 0.00, ?, 0.10
2021-08-01 01:15:00, 20.2, 12.4, 35.3, 56.0, 14, 0.0, ?, 61, 4.8, ?, 0.00, ?, 0.12
2021-08-01 01:30:00, 20.1, 12.3, 36.1, 53.0, 14, 0.0, ?, 61, 4.8, ?, 0.00, ?, 0.15
2021-08-01 01:45:00, 20.1, 12.3, 33.9, 48.0, 15, 0.0, ?, 61, 4.8, ?, 0.00, ?, 0.17
2021-08-01 02:00:00, 20.1, 12.3, 33.1, 53.0, 17, 0.0, ?, 61, 4.8, ?, 0.00, ?, 0.19
2021-08-01 02:15:00, 20.3, 12.5, 33.8, 52.0, 17, 0.0, ?, 61, 4.9, ?, 0.00, ?, 0.21
2021-08-01 02:30:00, 20.0, 12.2, 32.1, 47.0, 13, 0.0, ?, 61, 4.8, ?, 0.00, ?, 0.24
2021-08-01 02:45:00, 20.0, 12.5, 34.5, 55.0, 15, 0.0, ?, 62, 4.7, ?, 0.00, ?, 0.26
2021-08-01 03:00:00, 19.6, 12.4, 35.4, 50.0, 14, 0.0, ?, 63, 4.5, ?, 0.00, ?, 0.28
2021-08-01 03:15:00, 19.4, 12.6, 32.1, 50.0, 12, 0.0, ?, 65, 4.2, ?, 0.00, ?, 0.30
2021-08-01 03:30:00, 19.3, 12.6, 30.0, 48.0, 10, 0.0, ?, 65, 4.2, ?, 0.00, ?, 0.32
2021-08-01 03:45:00, 18.9, 12.6, 29.3, 50.0, 12, 0.0, ?, 67, 4.0, ?, 0.00, ?, 0.33
2021-08-01 04:00:00, 18.9, 12.6, 31.1, 43.0, 15, 0.0, ?, 67, 4.0, ?, 0.00, ?, 0.35
2021-08-01 04:15:00, 19.0, 12.7, 29.7, 45.0, 14, 0.0, ?, 67, 4.0, ?, 0.00, ?, 0.37
2021-08-01 04:30:00, 19.1, 12.8, 31.1, 48.0, 11, 0.0, ?, 67, 4.0, ?, 0.00, ?, 0.38
2021-08-01 04:45:00, 19.6, 13.1, 32.8, 52.0, 8, 0.0, ?, 66, 4.2, ?, 0.00, ?, 0.40
2021-08-01 05:00:00, 19.0, 13.0, 27.4, 42.0, 7, 0.0, ?, 68, 3.8, ?, 0.00, ?, 0.42
2021-08-01 05:15:00, 18.7, 12.9, 30.3, 43.0, 10, 0.0, ?, 69, 3.6, ?, 0.00, ?, 0.44
2021-08-01 05:30:00, 18.8, 12.8, 30.9, 48.0, 14, 0.0, ?, 68, 3.8, ?, 0.00, ?, 0.45
2021-08-01 05:45:00, 18.4, 12.8, 28.9, 43.0, 12, 0.0, ?, 70, 3.5, ?, 0.00, ?, 0.47
2021-08-01 06:00:00, 18.6, 12.8, 27.8, 42.0, 13, 0.0, ?, 69, 3.6, ?, 0.00, ?, 0.48
2021-08-01 06:15:00, 19.0, 13.0, 30.6, 48.0, 8, 0.0, ?, 68, 3.8, ?, 0.00, ?, 0.50
2021-08-01 06:30:00, 18.7, 12.7, 24.9, 48.0, 357, 0.0, ?, 68, 3.8, ?, 0.00, ?, 0.52
2021-08-01 06:45:00, 18.6, 12.6, 22.7, 43.0, 3, 0.0, ?, 68, 3.8, ?, 0.00, ?, 0.55
2021-08-01 07:00:00, 18.5, 12.7, 25.8, 45.0, 359, 0.0, ?, 69, 3.6, ?, 0.00, ?, 0.58
2021-08-01 07:15:00, 18.8, 12.8, 26.1, 42.0, 4, 0.0, ?, 68, 3.8, ?, 0.01, ?, 0.61
2021-08-01 07:30:00, 18.7, 12.9, 25.2, 45.0, 355, 0.0, ?, 69, 3.6, ?, 0.02, ?, 0.65
2021-08-01 07:45:00, 18.7, 13.1, 22.2, 39.0, 358, 0.0, ?, 70, 3.5, ?, 0.04, ?, 0.69
2021-08-01 08:00:00, 19.2, 13.1, 19.5, 37.0, 349, 0.0, ?, 68, 3.9, ?, 0.07, ?, 0.73
2021-08-01 08:15:00, 19.8, 13.3, 19.6, 34.0, 355, 0.0, ?, 66, 4.2, ?, 0.11, ?, 0.77
2021-08-01 08:30:00, 20.1, 13.3, 20.7, 37.0, 355, 0.0, ?, 65, 4.3, ?, 0.16, ?, 0.83
2021-08-01 08:45:00, 20.0, 13.7, 23.4, 45.0, 359, 0.0, ?, 67, 4.0, ?, 0.21, ?, 0.88
2021-08-01 09:00:00, 20.2, 13.6, 22.8, 40.0, 356, 0.0, ?, 66, 4.2, ?, 0.28, ?, 0.94
2021-08-01 09:15:00, 20.4, 13.4, 24.9, 47.0, 2, 0.0, ?, 64, 4.5, ?, 0.34, ?, 1.01
2021-08-01 09:30:00, 20.6, 14.0, 24.9, 39.0, 8, 0.0, ?, 66, 4.2, ?, 0.42, ?, 1.07
2021-08-01 09:45:00, 20.7, 13.9, 26.7, 42.0, 8, 0.0, ?, 65, 4.4, ?, 0.50, ?, 1.15
2021-08-01 10:00:00, 21.0, 13.7, 24.9, 40.0, 358, 0.0, ?, 63, 4.7, ?, 0.59, ?, 1.22
2021-08-01 10:15:00, 21.3, 14.2, 25.4, 39.0, 10, 0.0, ?, 64, 4.6, ?, 0.68, ?, 1.30
2021-08-01 10:30:00, 21.4, 14.1, 27.7, 47.0, 7, 0.0, ?, 63, 4.8, ?, 0.77, ?, 1.38
2021-08-01 10:45:00, 21.6, 13.8, 27.5, 43.0, 1, 0.0, ?, 61, 5.0, ?, 0.87, ?, 1.47
2021-08-01 11:00:00, 21.9, 14.0, 24.9, 42.0, 357, 0.0, ?, 61, 5.1, ?, 0.98, ?, 1.55
2021-08-01 11:15:00, 22.3, 14.4, 24.2, 40.0, 357, 0.0, ?, 61, 5.2, ?, 1.08, ?, 1.64
2021-08-01 11:30:00, 22.5, 14.3, 24.1, 39.0, 358, 0.0, ?, 60, 5.3, ?, 1.19, ?, 1.73
2021-08-01 11:45:00, 22.6, 14.4, 22.2, 34.0, 343, 0.0, ?, 60, 5.3, ?, 1.30, ?, 1.83
2021-08-01 12:00:00, 22.9, 14.5, 22.1, 35.0, 346, 0.0, ?, 59, 5.5, ?, 1.41, ?, 1.92
2021-08-01 12:15:00, 22.9, 15.0, 20.8, 34.0, 337, 0.0, ?, 61, 5.2, ?, 1.52, ?, 2.01
2021-08-01 12:30:00, 23.2, 15.5, 20.7, 32.0, 345, 0.0, ?, 62, 5.2, ?, 1.63, ?, 2.10
2021-08-01 12:45:00, 23.4, 14.9, 24.2, 39.0, 359, 0.0, ?, 59, 5.6, ?, 1.74, ?, 2.19
2021-08-01 13:00:00, 23.6, 15.6, 20.1, 34.0, 350, 0.0, ?, 61, 5.3, ?, 1.84, ?, 2.28
2021-08-01 13:15:00, 24.0, 15.8, 17.2, 27.0, 329, 0.0, ?, 60, 5.5, ?, 1.94, ?, 2.37
2021-08-01 13:30:00, 24.2, 15.7, 17.4, 29.0, 345, 0.0, ?, 59, 5.7, ?, 2.04, ?, 2.45
2021-08-01 13:45:00, 24.4, 15.9, 15.0, 26.0, 337, 0.0, ?, 59, 5.8, ?, 2.13, ?, 2.53
2021-08-01 14:00:00, 24.7, 16.1, 14.5, 26.0, 341, 0.0, ?, 59, 5.8, ?, 2.31, ?, 2.69
2021-08-01 14:15:00, 24.9, 15.5, 15.8, 27.0, 359, 0.0, ?, 56, 6.3, ?, 2.22, ?, 2.61
2021-08-01 14:30:00, 25.1, 15.7, 13.3, 23.0, 351, 0.0, ?, 56, 6.3, ?, 2.38, ?, 2.77
2021-08-01 14:45:00, 25.3, 17.2, 12.3, 24.0, 326, 0.0, ?, 61, 5.5, ?, 2.44, ?, 2.83
2021-08-01 15:00:00, 25.3, 13.5, 13.2, 23.0, 273, 0.0, ?, 48, 7.7, ?, 2.49, ?, 2.90
